model,threshold_type,threshold,precision,recall,f1_score,roc_auc,pr_auc
XGBoost,default_0.5,0.5,0.13898601398601398,0.5774818401937046,0.22404884922498824,0.7459320872272015,0.17253087214586013
XGBoost,tuned_validation,0.6400000000000001,0.18581907090464547,0.36803874092009686,0.2469536961819659,0.7459320872272015,0.17253087214586013
