Evaluation_Type,Train_Dataset,Test_Dataset,Train_Rows,Test_Rows,Precision,Recall,F1_Score,ROC_AUC,Accuracy
Within-Dataset,UCI,UCI,9864,2466,0.2327823691460055,0.4424083769633508,0.30505415162454874,0.6622364612957361,0.6877534468775345
Within-Dataset,YOOCHOOSE,YOOCHOOSE,7399783,1849946,0.13786495521061615,0.5356634850253583,0.21929058361695933,0.7370417925395516,0.7898290004140661
Cross-Dataset,UCI,YOOCHOOSE,12330,9249729,0.2952013817617462,0.023137321069814164,0.042911333679010996,0.7318255138464229,0.94312709053422
Cross-Dataset,YOOCHOOSE,UCI,9249729,12330,0.16405442645539098,0.9984276729559748,0.2818047337278107,0.5867005401410579,0.21248986212489862
