model,threshold_type,threshold,precision,recall,f1_score,roc_auc,pr_auc
LightGBM,default_0.5,0.5,0.13365800865800867,0.5980629539951574,0.2184873949579832,0.7492256394154833,0.17194266833610716
LightGBM,tuned_validation,0.7100000000000002,0.20554066130473636,0.2784503631961259,0.2365038560411311,0.7492256394154833,0.17194266833610716
