model,simulation_sessions,events_per_session,total_event_observations,mean_latency_ms_per_session,median_latency_ms_per_session,p95_latency_ms_per_session,minimum_latency_ms_per_session,maximum_latency_ms_per_session
LSTM,1000,20,20000,0.6787945949996356,0.2775618000305258,0.8887622749811322,0.25967619998846203,7.70957179996185
GRU,1000,20,20000,0.3142448900034651,0.26331380000920035,0.38323139999120087,0.2402252999600023,1.1344192000105977
GRU + Attention,1000,20,20000,0.48874275499547365,0.39011299997218885,0.620262865038241,0.26532700000097975,2.737696300027892
XGBoost,1000,20,20000,0.01596493999531958,0.008020049979677424,0.01847696001350425,0.006649899994954467,0.16485409997403622
LightGBM,1000,20,20000,0.023336495010880753,0.01570190000347793,0.02908401497697934,0.007760999957099557,0.16954560001613572
