Model,Precision,Recall,F1_Score,ROC_AUC
LSTM,0.093562,0.489104,0.157076,0.635229
GRU,0.1056931324993617,0.5012106537530266,0.174573055028463,0.6584502248259354
GRU + Attention,0.1085534920219722,0.5024213075060533,0.1785330178533017,0.6860090825509724
XGBoost,0.1388727484020918,0.5786924939467313,0.2239925023430178,0.7476176838470057
LightGBM,0.137536578877361,0.62590799031477,0.2255179934569247,0.752119925273264
